Cluster,Epic Title,Epic Body,Epic Labels,Task Section
25," Epic Issue: Improve Table Selection and Handling in Software

"," This epic issue aims to improve the table selection and handling functionality in the software by addressing several related issues. The goal is to enhance the user experience and accessibility of working with tables in the software.

"," ['type:epic', 'package:table', 'domain:accessibility']","- [ ] [Table selection with keyboard](https://github.com/ckeditor/ckeditor5/issues/6115)

- [ ] [Table selection handling: Insert column, row commands](https://github.com/ckeditor/ckeditor5/issues/6125)

- [ ] [Table selection handling: Remove row, column commands](https://github.com/ckeditor/ckeditor5/issues/6126)

- [ ] [Table selection handling: Set heading rows, column commands](https://github.com/ckeditor/ckeditor5/issues/6127)

- [ ] [Table selection handling: Split cell](https://github.com/ckeditor/ckeditor5/issues/6128)

- [ ] [Selecting a table cell (or cells) through a model does not render a nice table selection](https://github.com/ckeditor/ckeditor5/issues/6346)

- [ ] [Inline images - nice to have features](https://github.com/ckeditor/ckeditor5/issues/8712)

- [ ] [Find and replace multiroot support](https://github.com/ckeditor/ckeditor5/issues/10146)

- [ ] [[Drag & drop, intro] Prevent dropping in the impossible places (a.k.a. inception)](https://github.com/ckeditor/ckeditor5/issues/14709)

- [ ] [[Drag & drop] Balloon block button](https://github.com/ckeditor/ckeditor5/issues/15029)
"
3," Epic Issue: Table Selection and Manipulation Enhancements
"," Provide a description of the epic issue very briefly. This epic issue includes a series of enhancements and improvements related to the selection and manipulation of tables in CKEditor 5. These enhancements include features such as copying and pasting table fragments, handling spanned cells in pasting scenarios, merging cells, and allowing selection within object elements. These improvements aim to enhance the overall table editing experience and provide a more comprehensive set of table editing functionalities.
"," ['type:epic', 'package:table']","- [ ] [Review behavior of existing features on multi-range selections in tables](https://github.com/ckeditor/ckeditor5/issues/6116)

- [ ] [Copy selected table fragment (base)](https://github.com/ckeditor/ckeditor5/issues/6118)

- [ ] [Cut / delete on selected table fragment](https://github.com/ckeditor/ckeditor5/issues/6119)

- [ ] [Pasting table into a selected table fragment (bigger then one cell)](https://github.com/ckeditor/ckeditor5/issues/6120)

- [ ] [Pasting table when only one table cell is selected](https://github.com/ckeditor/ckeditor5/issues/6121)

- [ ] [Handling spanned cell in pasting scenarios](https://github.com/ckeditor/ckeditor5/issues/6122)

- [ ] [Table selection handling: Merge cell split command](https://github.com/ckeditor/ckeditor5/issues/6123)

- [ ] [Allow selection to be set on object elements](https://github.com/ckeditor/ckeditor5/issues/6154)

- [ ] [Table cell/row/column selection – stage III (optional features)](https://github.com/ckeditor/ckeditor5/issues/6297)

- [ ] [Handle case of a smaller table pasted into bigger selection](https://github.com/ckeditor/ckeditor5/issues/6769)
"
0," Epic Issue: Table Properties Alignment and Selection Improvements
"," This epic issue aims to address various table properties alignment and selection improvements in the UI. It includes two related issues:
- Align table properties UI to multi-range selection
- Test whether all table features are still functional if the table selection does not work

"," ['type:epic', 'package:table', 'domain:ui/ux']","- [ ] [Align table properties UI to multi-range selection](https://github.com/ckeditor/ckeditor5/issues/6150)

- [ ] [Test whether all table features are still functional if the table selection does not work](https://github.com/ckeditor/ckeditor5/issues/6151)
"
7," Epic Issue: Improve Software Project Management

"," This epic issue aims to improve software project management by addressing several issues related to table selection, input handling, and plugin migration. The specific tasks include addressing bugs and improvements in table selection behavior, enhancing input observer functionality, migrating the Delete, Enter, and ShiftEnter plugins to the beforeInput event, and using insert* types for various features. Additionally, the epic includes creating an executable script for the stale bot.

"," ['type:epic', 'squad:core', 'domain:ui/ux', 'domain:dx', 'package:table', 'package:typing', 'package:list', 'package:horizontal-rule', 'package:dev', 'squad:devops', 'status:stale']","- [ ] [Table selection does not cooporate with typing](https://github.com/ckeditor/ckeditor5/issues/6284)

- [ ] [Position table cell properties balloon in relation to multiple-cell](https://github.com/ckeditor/ckeditor5/issues/6357)

- [ ] [Improve InputObserver so the event passes and normalizes additional information](https://github.com/ckeditor/ckeditor5/issues/7996)

- [ ] [Migrate the Delete plugin to the beforeInput event](https://github.com/ckeditor/ckeditor5/issues/7998)

- [ ] [Migrate the Enter and ShiftEnter plugins to beforeInput](https://github.com/ckeditor/ckeditor5/issues/7999)

- [ ] [Use insert* beforeInput types across the features (list, horizontal line, etc.)](https://github.com/ckeditor/ckeditor5/issues/8001)

- [ ] [[TS] Allow running tests written in TS (automated, manual)](https://github.com/ckeditor/ckeditor5/issues/11888)

- [ ] [Create an executable script for the stale bot](https://github.com/ckeditor/ckeditor5/issues/15402)
"
29," Create Epic Issue for Table Enhancements
"," This epic issue aims to address and enhance the functionality of the table feature in the software. It includes tasks such as enabling table selection as a core feature, adding missing badges to the README.md, and enabling block drag and drop by default. The goal is to ensure the reliability and usability of the table feature before release. 

"," ['type:epic', 'package:table', 'package:find-and-replace', 'squad:core']","- [ ] [Enable table selection as core table feature](https://github.com/ckeditor/ckeditor5/issues/6343)

- [ ] [Add missing badges README.md](https://github.com/ckeditor/ckeditor5/issues/10040)

- [ ] [[Drag & drop] Enable block drag and drop by default](https://github.com/ckeditor/ckeditor5/issues/14734)
"
20," Epic Issue: Fix Cell Selection Logic

"," This epic issue aims to address the problem with cell selection in which the minimum selection is always two cells, even when trying to select a single cell. The current logic only supports multi-range cell selections but neglects the option of single-cell selections. It is necessary to enhance the cell selection logic so that it allows for selecting a single cell as well.

"," ['type:bug', 'package:table']","- [ ] [It should be possible to make selection of a single cell.](https://github.com/ckeditor/ckeditor5/issues/6347)
"
28," Code Coverage and Monorepo Epic Issue
"," This epic issue aims to address code coverage for the monorepo structure and ensure that the online builder can handle the monorepo setup. Additionally, it includes testing and stabilizing composition (IME) using beforeInput on desktop browsers for Linux. Lastly, it involves removing the 'I' type parameter from the 'Collection' class in order to simplify and improve the codebase. This epic issue serves as a container for these multiple subtasks.

", ['type:epic'],"- [ ] [Code coverage for monorepo](https://github.com/ckeditor/ckeditor5/issues/6478)

- [ ] [Online builder with monorepo](https://github.com/ckeditor/ckeditor5/issues/6480)

- [ ] [Test and stabilize composition (IME) using beforeInput on desktop browsers (Linux)](https://github.com/ckeditor/ckeditor5/issues/8010)

- [ ] [[TS] Remove `I` type parameter from `Collection`](https://github.com/ckeditor/ckeditor5/issues/12763)
"
2," Epic Issue: Improve CKEditor5 Drag & Drop Functionality
"," This epic aims to improve the drag and drop functionality in CKEditor5 by addressing several related issues. The issues include adjusting documentation for the monorepo, restoring and checking the image attribute proof of concept (PoC), researching how different sources of HTML interact with image attributes, addressing the issue of images wider than the editor being shrunk horizontally, improving the drop target line, changing the default icon of the Balloon block editor, and enhancing the image preview during drag and drop. These improvements will enhance the user experience and provide more intuitive drag and drop features in CKEditor5.
"," ['type:epic', 'squad:core']","- [ ] [Adjust docs for monorepo](https://github.com/ckeditor/ckeditor5/issues/6479)

- [ ] [Restore and check image attributes POC](https://github.com/ckeditor/ckeditor5/issues/14147)

- [ ] [Research how different sources of HTML interact with img height/width attributes](https://github.com/ckeditor/ckeditor5/issues/14313)

- [ ] [Images wider than editor are shrunk horizontally](https://github.com/ckeditor/ckeditor5/issues/14542)

- [ ] [[Drag & drop, intro] Improve the drop target line](https://github.com/ckeditor/ckeditor5/issues/14645)

- [ ] [[Drag & drop + Balloon block, intro] Change the default icon](https://github.com/ckeditor/ckeditor5/issues/14646)

- [ ] [[Drag & drop] Improve images preview](https://github.com/ckeditor/ckeditor5/issues/14744)
"
15," Epic Issue: Update CKEditor Documentation and Image Handling

"," This epic issue aims to improve the CKEditor documentation and address image handling issues. The documentation changes involve revisiting the ""Custom builds"" and ""Installing plugins"" guides, removing custom builds and adding a redirect to installing plugins. Additionally, the ""Installing plugins"" guide needs a complete rewrite with the monorepo in mind. 

Regarding the image handling tasks, there are three separate issues. The first task, described in Issue #8009, involves converting the ""style=height:xx"" attribute to the model's ""resizedHeight"" for images. After resizing, two options are presented: removing ""resizedHeight"" and changing ""resizedWidth"" or changing both ""resizedHeight"" and ""resizedWidth"".

Issue #14357 focuses on setting image width and height when the user edits the image. Currently, sizes are added only when switching between block and inline, but they should also be added after resizing and potentially other changes like alignment.

To address these issues, an epic issue will be created to encompass all the tasks and documentation changes, providing a comprehensive solution.

"," ['type:epic', 'team:devops', 'team:core', 'domain:documentation', 'domain:ui/ux']","- [ ] [Revisit ""Custom builds"" and ""Installing plugins"" guides](https://github.com/ckeditor/ckeditor5/issues/6770)

- [ ] [Test and stabilize composition (IME) using beforeInput on desktop browsers (Windows)](https://github.com/ckeditor/ckeditor5/issues/8009)

- [ ] [Add image resizedHeight attribute, convert from style=height:xx](https://github.com/ckeditor/ckeditor5/issues/14357)

- [ ] [Set image width and height on resize (and possibly other image changes)](https://github.com/ckeditor/ckeditor5/issues/14557)
"
27," Migrate and Stabilize CKEditor5 Input Plugin to beforeInput Event
"," Migrating the Input plugin to the beforeInput event is a crucial task that requires thorough testing and stabilization. This epic issue aims to address multiple related issues and ensure the smooth functioning of the CKEditor5 Input plugin across different platforms and browsers. The specific issues to be tackled include testing and stabilizing composition (IME) using beforeInput on desktop browsers (Mac), testing and stabilizing beforeInput in Collaboration Features, and addressing various scenarios and use cases related to composition, formatting, auto embedding, track changes, spell check, and more.
"," ['type:epic', 'package:typing', 'package:cloud-services', 'domain:ui/ux', 'domain:dx', 'domain:typing/ime', 'squad:core', 'browser:chrome', 'browser:edge', 'browser:safari']","- [ ] [Migrate the Input plugin to the beforeInput event](https://github.com/ckeditor/ckeditor5/issues/7997)

- [ ] [Test and stabilize composition (IME) using beforeInput on desktop browsers (Mac)](https://github.com/ckeditor/ckeditor5/issues/8008)

- [ ] [Test and stabilize beforeInput in Collaboration Features](https://github.com/ckeditor/ckeditor5/issues/8013)
"
26," Inline images - Epic Issue

"," This epic issue aims to address the requirements for inline images in the software project. The main focus is on the MVP step 2, which includes the following sub-tasks: linking images, image resizing, and support for loading only the inline image feature. By completing these tasks, the software will enable users to seamlessly work with and manipulate inline images within the application.

"," ['type:epic', 'squad:core']","- [ ] [Inline images - MVP step 2](https://github.com/ckeditor/ckeditor5/issues/8666)
"
30," Epic Issue: Improvement of Search Functionality
"," This epic issue aims to enhance the search functionality by implementing a standardized action when there are no more search results available. Currently, the behavior when reaching the end of search results or encountering a query that does not match is undefined. To provide a better user experience, we need to decide on and implement a consistent action in such cases.
"," ['type:epic', 'domain:ui/ux', 'squad:features', 'package:search-functionality']","- [ ] [Action when there are no more search results available.](https://github.com/ckeditor/ckeditor5/issues/9934)
"
